WellRow,WellCol,well_position,gene_name,genotype
A,1,A1,NF1,WT
A,6,A6,NF1,WT
A,7,A7,NF1,Null
A,12,A12,NF1,Null
B,1,B1,NF1,WT
B,6,B6,NF1,WT
B,7,B7,NF1,Null
B,12,B12,NF1,Null
C,1,C1,NF1,WT
C,6,C6,NF1,WT
C,7,C7,NF1,Null
C,12,C12,NF1,Null
D,1,D1,NF1,WT
D,6,D6,NF1,WT
D,7,D7,NF1,Null
D,12,D12,NF1,Null
E,1,E1,NF1,WT
E,6,E6,NF1,WT
E,7,E7,NF1,Null
E,12,E12,NF1,Null
F,1,F1,NF1,WT
F,6,F6,NF1,WT
F,7,F7,NF1,Null
F,12,F12,NF1,Null
G,1,G1,NF1,WT
G,6,G6,NF1,WT
G,7,G7,NF1,Null
G,12,G12,NF1,Null
H,1,H1,NF1,WT
H,6,H6,NF1,WT
H,7,H7,NF1,Null
H,12,H12,NF1,Null
